52, -45001.7891, 0.1000, 1.0000
520, -31157.7344, 0.1000, 1.0000
586, -29058.1113, 0.1127, 1.2371
954, -19913.3809, 0.1127, 1.2371
1020, -18104.2871, 0.1342, 1.5427
1332, -11448.1680, 0.1342, 1.5427
1400, -9538.9189, 0.1565, 1.7813
1670, -4370.9858, 0.1565, 1.7813
1736, -2211.5059, 0.1721, 2.0956
1984, 2279.0693, 0.1721, 2.0956
2056, 3506.8440, 0.1911, 2.4954
2222, 5636.1089, 0.1911, 2.4954
2314, 5866.1768, 0.2240, 2.6335
2352, 6027.7822, 0.2240, 2.6335
2432, 6550.8560, 0.2211, 3.1304
2524, 7698.8936, 0.2211, 3.1304
2613, 8172.1826, 0.2162, 3.2627
2693, 8811.4277, 0.2162, 3.2627
2773, 9947.0596, 0.2180, 3.3169
2904, 11416.7803, 0.2180, 3.3169
2996, 11875.3691, 0.2226, 3.7334
3061, 12693.5537, 0.2226, 3.7334
3154, 13123.2988, 0.1945, 4.4195
3243, 14081.4307, 0.1945, 4.4195
3329, 14518.4072, 0.1752, 4.8174
3432, 15541.1836, 0.1752, 4.8174
3520, 15973.6035, 0.1586, 5.5305
3598, 16804.5176, 0.1586, 5.5305
3691, 17016.4375, 0.1307, 6.0728
3764, 17273.9082, 0.1307, 6.0728
3854, 17570.3750, 0.0917, 6.3356
3931, 18196.0840, 0.0917, 6.3356
4014, 18704.9844, 0.0811, 7.4163
4100, 19016.9961, 0.0811, 7.4163
4188, 19292.8066, 0.0589, 9.0799
4272, 19559.0000, 0.0589, 9.0799
4358, 19926.8711, 0.0514, 9.1753
4452, 20339.0703, 0.0514, 9.1753
4539, 20536.0137, 0.0384, 10.4650
4626, 20866.9648, 0.0384, 10.4650
4717, 20945.0840, 0.0396, 12.1978
4766, 21121.3184, 0.0396, 12.1978
4856, 21227.2012, 0.0375, 14.2341
4912, 21375.2734, 0.0375, 14.2341
4996, 21609.9707, 0.0271, 15.5422
5100, 21852.8418, 0.0271, 15.5422
5189, 22017.1035, 0.0232, 16.4876
5258, 22096.3516, 0.0232, 16.4876
5346, 22233.6133, 0.0253, 20.3502
5417, 22327.0703, 0.0253, 20.3502
5508, 22463.0312, 0.0281, 22.6537
5598, 22790.9707, 0.0281, 22.6537
5689, 22965.1621, 0.0263, 26.5369
5799, 23245.5898, 0.0263, 26.5369
5891, 23347.7070, 0.0261, 32.2346
5945, 23473.1191, 0.0261, 32.2346
6037, 23604.4902, 0.0182, 34.7188
6100, 23850.5156, 0.0182, 34.7188
6176, 24139.8477, 0.0162, 42.6142
6279, 24254.4922, 0.0162, 42.6142
6369, 24379.9453, 0.0165, 41.8094
6414, 24441.5586, 0.0165, 41.8094
6512, 24469.0273, 5.0123, 0.9495
6518, 24475.6094, 5.0123, 0.9495
6616, 24492.5469, 3.0682, 0.4984
6626, 24519.5938, 3.0682, 0.4984
6720, 24580.2461, 1.8383, 0.4765
6738, 24689.4805, 1.8383, 0.4765
6836, 24785.7676, 1.5406, 0.3353
6865, 25134.6523, 1.5406, 0.3353
6962, 25236.8438, 1.2337, 0.4131
6987, 25517.7520, 1.2337, 0.4131
7082, 25587.0859, 1.0697, 0.3080
7098, 25615.3125, 1.0697, 0.3080
7189, 25705.5195, 0.7123, 0.3687
7251, 25820.5137, 0.7123, 0.3687
7349, 25869.4238, 0.8073, 0.4158
7357, 25879.5625, 0.8073, 0.4158
7446, 25958.3125, 0.5239, 0.2663
7503, 26187.6523, 0.5239, 0.2663
7592, 26311.1523, 0.4729, 0.2851
7653, 26495.4121, 0.4729, 0.2851
7741, 26620.0098, 0.4321, 0.2553
7809, 26890.8828, 0.4321, 0.2553
7899, 27005.4805, 0.4534, 0.3040
7935, 27129.5273, 0.4534, 0.3040
8027, 27208.4238, 0.4882, 0.3369
8084, 27318.9375, 0.4882, 0.3369
8177, 27389.0117, 0.4840, 0.3601
8204, 27502.2559, 0.4840, 0.3601
8296, 27565.0469, 0.4919, 0.3429
8345, 27602.2168, 0.4919, 0.3429
8437, 27732.7656, 0.5477, 0.3780
8456, 27750.3027, 0.5477, 0.3780
8548, 27844.2227, 0.5045, 0.2898
8596, 27982.6719, 0.5045, 0.2898
8684, 28082.4375, 0.5265, 0.2756
8752, 28285.0293, 0.5265, 0.2756
8843, 28387.6816, 0.4767, 0.2622
8901, 28504.7051, 0.4767, 0.2622
8991, 28669.3398, 0.4968, 0.2284
9059, 28820.5625, 0.4968, 0.2284
9153, 28892.6152, 0.4101, 0.2574
9214, 28996.8535, 0.4101, 0.2574
9306, 29050.2949, 0.3523, 0.3205
9351, 29274.6055, 0.3523, 0.3205
9439, 29355.4395, 0.3734, 0.3056
9500, 29431.3633, 0.3734, 0.3056
9589, 29541.5684, 0.3337, 0.2784
9646, 29792.4785, 0.3337, 0.2784
9732, 29906.7773, 0.3568, 0.3175
9794, 29964.7402, 0.3568, 0.3175
9886, 30055.9551, 0.3090, 0.2914
9955, 30189.9922, 0.3090, 0.2914
10048, 30284.3926, 0.2925, 0.2871
10088, 30329.1680, 0.2925, 0.2871
10179, 30380.8730, 0.3015, 0.3307
10237, 30463.2422, 0.3015, 0.3307
